1,Vas,null,50,How hungry do you feel right now?,Not at all hungry,Extremely hungry,0,100
1,Vas,null,50,How full do you feel right now?,Not at all full,Extremely full,0,100
1,Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,Extremely thirsty,0,100
1,Vas,null,50,How strong is your desire to eat right now?,Very weak,Very strong,0,100
1,Vas,null,50,How much do you think you could eat right now?,Nothing at all,A large amount,0,100
1,Vas,null,50,How clearheaded do you feel right now?,Not at all c1,Vas,2024.08.13.19.25.23.426,81,How hungry do you feel right now?,Not at all hungry,Extremely hungry,0,100
1,Vas,null,50,How full do you feel right now?,Not at all full,Extremely full,0,100
1,Vas,null,50,How thirsty do you feel right now?,Not at all thirsty,Extremely thirsty,0,100
1,Vas,null,50,How strong is your desire to eat right now?,Very weak,Very strong,0,100
1,Vas,null,50,How much do you think you could eat right now?,Nothing at all,A large amount,0,100
1,Vas,null,50,How clearheaded do you feel righ
